Date-Time,PM2.5
2013-03-01,106.77016129032258
2013-04-01,57.349999999999994
2013-05-01,77.24731182795702
2013-06-01,108.3201388888889
2013-07-01,75.43548387096774
2013-08-01,68.15456989247315
2013-09-01,82.11805555555557
2013-10-01,96.91532258064517
2013-11-01,83.35138888888892
2013-12-01,87.9119623655914
2014-01-01,106.12567204301072
2014-02-01,156.47395833333331
2014-03-01,100.23588709677419
2014-04-01,86.75486111111108
2014-05-01,68.09811827956989
2014-06-01,56.84166666666667
2014-07-01,84.35053763440862
2014-08-01,60.74327956989247
2014-09-01,63.971388888888875
2014-10-01,136.99731182795696
2014-11-01,110.75625
2014-12-01,77.26545698924733
2015-01-01,108.11438172043012
2015-02-01,101.24479166666667
2015-03-01,95.46008064516128
2015-04-01,79.09305555555555
2015-05-01,59.153225806451616
2015-06-01,64.0
2015-07-01,56.71370967741937
2015-08-01,41.82661290322581
2015-09-01,51.010416666666664
2015-10-01,78.85819892473118
2015-11-01,126.19583333333334
2015-12-01,161.3689516129032
2016-01-01,70.11559139784947
2016-02-01,43.19683908045977
